baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol	ENSEMBL	GENENAME	ENTREZID
129.48237997629	-2.02680756828574	0.49849201317458	-4.06587771663239	4.78520231841464e-05	0.0182753118108497	DAO	ENSG00000110887	D-amino acid oxidase	1610
4.04024719025974	-1.75171419671121	0.484304625527776	-3.61696771903069	0.000298074460941223	0.0484867789797722	FABP1	ENSG00000163586	fatty acid binding protein 1	2168
5.35537207216994	-1.73249769943083	0.472926858493918	-3.66335230980143	0.000248935773745217	0.0455552465953747	KRT15	ENSG00000171346	keratin 15	3866
2722.29529036303	-1.60008849051263	0.347797723987166	-4.60062956183024	4.21215929005359e-06	0.00284612363106391	CRLF1	ENSG00000006016	cytokine receptor like factor 1	9244
30.0131002915401	-1.59929773625238	0.409080532349995	-3.90949363213422	9.24897933839787e-05	0.0267563624343887	LBP	ENSG00000129988	lipopolysaccharide binding protein	3929
7.55908419215839	-1.5690266508864	0.421403212067318	-3.72333813781124	0.000196605924368546	0.0390587248277982	ITPRID1	ENSG00000180347	ITPR interacting domain containing 1	223075
3.94987829318512	-1.54993059064903	0.425322695265238	-3.64412858261059	0.000268299272008579	0.0476109253600679	IL5RA	ENSG00000091181	interleukin 5 receptor subunit alpha	3568
726.47269535729	-1.54666160519907	0.393344509793518	-3.93207879273812	8.42144518901192e-05	0.0267374703239204	PCDHGB6	ENSG00000253305	protocadherin gamma subfamily B, 6	56100
16.6006109217441	-1.53964025864621	0.397899865197996	-3.86941638665818	0.000109096186709705	0.02861597331805	RD3	ENSG00000198570	retinal degeneration 3, GUCY2D regulator	343035
19.8797902899524	-1.530395512676	0.386628520506145	-3.95830993190187	7.54819721070822e-05	0.0255012939611004	FAM81B	ENSG00000153347	family with sequence similarity 81 member B	153643
47.3333277073256	-1.51217186481022	0.355439278418354	-4.2543746755821	2.09634030361953e-05	0.0111601534709054	PCDHA9	ENSG00000204961	protocadherin alpha 9	9752
316.400548730081	-1.44850058220932	0.361318915511356	-4.00892541194344	6.09956770096136e-05	0.0214314410740978	TNF	ENSG00000232810	tumor necrosis factor	7124
64.6747471456686	-1.20962822767989	0.323545308994214	-3.73866717907358	0.000184998450903005	0.0377913114588835	PCDHA7	ENSG00000204963	protocadherin alpha 7	56141
696.025432539497	-1.09753830058407	0.30008357103227	-3.65744214789433	0.000254744732049775	0.0456726794570612	C1QL4	ENSG00000186897	complement C1q like 4	338761
9.53142266186416	-1.04203089596271	0.287934086558236	-3.61899109764467	0.000295753811253028	0.0484867789797722	ORM2	ENSG00000228278	orosomucoid 2	5005
875.925741993771	-1.0330432488489	0.252939777924162	-4.08414705400207	4.42390101013896e-05	0.0176634302150276	CDKN2A	ENSG00000147889	cyclin dependent kinase inhibitor 2A	1029
7.06967526981366	1.00543683596616	0.273877634628646	3.67111698379259	0.000241492768544909	0.0446583679768101	UCN2	ENSG00000145040	urocortin 2	90226
304.370186840294	1.0142744377864	0.262054111502482	3.87047710097385	0.000108622560452189	0.02861597331805	EMILIN2	ENSG00000132205	elastin microfibril interfacer 2	84034
